CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Price,Brand_Acer,Brand_Apple,Brand_Asus,Brand_Dell,Brand_HP,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Microsoft,Brand_Other,OS_Other,OS_Windows 10,OS_Windows 11
21493.0,2690.0,13.3,1920,1080,8.0,256.0,1.25,789.81,False,False,False,True,False,False,False,False,False,False,False,False,True
15853.0,1792.0,15.6,1920,1080,16.0,2048.0,2.43,699.99,False,False,False,True,False,False,False,False,False,False,False,False,True
13775.0,6020.0,16.0,1920,1200,16.0,512.0,2.4,992.0,False,False,False,True,False,False,False,False,False,False,False,False,True
13554.0,2690.0,14.0,1920,1080,8.0,2048.0,1.55,651.0,False,False,False,False,True,False,False,False,False,False,False,False,True
28003.0,19560.0,16.0,1920,1200,16.0,512.0,2.44,1439.0,False,False,True,False,False,False,False,False,False,False,False,False,True
17229.0,2690.0,15.6,1920,1080,32.0,2048.0,2.22,1229.0,False,False,False,False,True,False,False,False,False,False,False,False,True
1417.0,324.0,14.0,1366,768,4.0,64.0,1.2,229.0,False,False,False,False,True,False,False,False,False,False,False,True,False
13554.0,1971.0,12.4,1536,1024,16.0,512.0,1.13,1299.95,False,False,False,False,False,False,False,False,True,False,False,True,False
13775.0,1971.0,15.6,1920,1080,16.0,512.0,1.7,899.0,False,False,False,False,False,False,True,False,False,False,False,True,False
9339.0,1476.0,17.3,1600,900,8.0,256.0,2.1,482.99,False,False,True,False,False,False,False,False,False,False,False,False,True
17229.0,2690.0,14.0,2560,1600,16.0,1024.0,1.4,1579.99,False,False,False,False,False,False,False,False,False,True,True,False,False
24556.0,7108.0,14.0,2560,1600,32.0,512.0,1.33,1675.05,False,False,False,False,True,False,False,False,False,False,False,True,False
3919.0,1476.0,13.3,1920,1080,16.0,512.0,1.68,689.99,False,False,False,False,False,False,False,False,False,True,True,False,False
26423.0,17089.0,17.0,3840,2400,32.0,1024.0,2.41,3169.0,False,False,False,True,False,False,False,False,False,False,False,False,True
23284.0,7868.0,15.6,1920,1080,24.0,512.0,2.68,1096.78,True,False,False,False,False,False,False,False,False,False,False,True,False
13554.0,2690.0,14.0,1920,1200,8.0,512.0,1.5,515.56,False,False,False,False,False,False,True,False,False,False,False,False,True
9891.0,2690.0,15.6,1920,1080,32.0,1024.0,2.1,700.69,False,False,False,False,True,False,False,False,False,False,False,False,True
15348.0,1971.0,14.0,1920,1080,16.0,256.0,1.39,1079.95,False,False,False,True,False,False,False,False,False,False,False,True,False
9970.0,926.0,14.0,1920,1080,16.0,512.0,1.73,1599.99,False,False,False,False,False,False,True,False,False,False,False,True,False
18753.0,12961.0,15.6,1920,1080,16.0,1024.0,2.3,717.99,False,False,False,False,True,False,False,False,False,False,False,False,True
2010.0,4.0,14.0,1920,1080,16.0,512.0,1.25,559.99,True,False,False,False,False,False,False,False,False,False,False,False,True
7460.0,926.0,15.6,1920,1080,16.0,256.0,2.53,499.99,False,False,False,True,False,False,False,False,False,False,False,False,True
24268.0,7320.0,17.3,1920,1080,16.0,1024.0,3.0,1349.0,True,False,False,False,False,False,False,False,False,False,False,False,True
23728.0,12961.0,16.0,2560,1600,32.0,2000.0,2.45,1265.87,False,False,False,True,False,False,False,False,False,False,False,False,True
19333.0,22064.0,14.0,1920,1080,16.0,512.0,1.39,1309.0,False,False,False,True,False,False,False,False,False,False,False,True,False
9891.0,2690.0,14.0,1920,1080,16.0,512.0,1.4,669.0,False,False,False,True,False,False,False,False,False,False,False,False,True
16980.0,1971.0,15.6,1920,1080,8.0,256.0,1.79,1989.312760603882,False,False,False,False,True,False,False,False,False,False,False,True,False
