,Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price,CPU Brand,GPU Brand
1655,dell,23728.0,17089.0,14.0,1920,1080,32.0,2000.0,Windows 11,3.64,1913.02,intel,geforce
1656,hp,1556.0,324.0,15.6,1920,1080,8.0,128.0,Windows 10,1.72,382.0,intel,intel
1657,hp,2169.0,4253.0,15.6,1920,1080,16.0,512.0,Windows 11,2.27,239.98,intel,intel
1658,dell,9891.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,2.22,569.79,intel,intel
1659,dell,1364.0,4253.0,14.0,1920,1080,16.0,128.0,Windows 10,2.23,829.99,intel,intel
1660,asus,26423.0,26876.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.84,1399.0,intel,geforce
1661,hp,44977.0,38874.0,17.3,2560,1440,64.0,8192.0,Windows 11,2.82,4339.0,intel,geforce
1662,lenovo,17229.0,2690.0,16.0,1920,1200,40.0,2048.0,Windows 10,1.72,1599.99,intel,intel
1663,hp,10346.0,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.96,750.0,intel,intel
1664,microsoft,13775.0,2690.0,15.0,2496,1664,8.0,256.0,Windows 10,1.56,1299.0,intel,intel
1665,lenovo,10552.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.13,943.24,intel,intel
1666,lenovo,15287.0,1971.0,16.0,1920,1200,32.0,1024.0,Windows 10,1.7,1123.95,intel,intel
1667,lenovo,13775.0,926.0,15.6,1920,1080,16.0,512.0,Windows 10,2.0,899.0,intel,intel
1668,dell,16980.0,1476.0,15.6,1920,1080,16.0,512.0,Windows 11,1.95,769.99,intel,intel
1669,dell,44977.0,26876.0,16.0,2560,1600,64.0,2048.0,Windows 10,2.86,2769.99,intel,geforce
1670,acer,17329.0,12961.0,15.6,1920,1080,16.0,512.0,Windows 10,2.1,769.0,intel,geforce
1671,lenovo,13554.0,2690.0,14.0,1920,1200,16.0,1024.0,Windows 11,1.5,889.99,intel,intel
1672,hp,9891.0,2690.0,17.0,1920,1080,8.0,256.0,Windows 11,2.22,672.69,intel,intel
1673,dell,9891.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,2.22,489.99,intel,intel
1674,dell,34306.0,26876.0,18.0,1920,1200,32.0,2000.0,Windows 11,3.64,2920.78,intel,geforce
1675,lenovo,28003.0,22064.0,16.0,3840,2400,32.0,1024.0,Windows 10,2.2,2827.5,intel,nvidia
1676,dell,10552.0,2690.0,13.3,1920,1080,32.0,1024.0,Windows 11,1.18,1259.0,intel,intel
1677,lenovo,18462.0,1792.0,14.0,1920,1080,16.0,256.0,Windows 11,1.74,795.0,amd,radeon
1678,dell,17441.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.32,809.0,intel,intel
1679,lenovo,15451.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,2.19,2414.8,intel,intel
1680,asus,29690.0,19560.0,14.5,2880,1800,16.0,1024.0,Windows 11,1.65,1899.99,intel,geforce
1681,acer,16980.0,2690.0,16.0,1920,1200,8.0,512.0,Windows 11,1.6,799.99,intel,intel
1682,hp,13554.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 10,1.77,639.79,intel,intel
1683,lenovo,1556.0,240.0,14.0,1366,768,4.0,128.0,Windows 11,1.55,189.99,intel,radeon
1685,dell,15451.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.77,1999.99,intel,intel
1686,asus,2003.0,1476.0,14.0,1980,1080,4.0,128.0,Windows 11,1.5,432.99,intel,intel
1687,lenovo,3310.0,324.0,11.6,1366,768,4.0,32.0,Windows 10,1.35,494.33,intel,intel
1688,lenovo,1323.0,1792.0,15.6,1920,1080,8.0,1024.0,Windows 10,2.22,529.99,amd,radeon
1689,hp,16980.0,1971.0,14.0,1920,1200,16.0,256.0,Windows 10,1.4,1649.0,intel,intel
1690,dell,15451.0,4253.0,14.0,2560,1600,32.0,512.0,Windows 11,2.04,2381.99,intel,intel
1691,dell,23062.0,4253.0,15.6,1366,768,4.0,128.0,Windows 10,2.66,1225.73,intel,intel
1692,lenovo,16980.0,1476.0,14.0,1920,1080,8.0,512.0,Windows 10,0.45,752.95,intel,intel
1693,asus,658.0,4253.0,11.6,1366,768,4.0,32.0,Chrome OS,1.18,289.9,intel,intel
