,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Storage Type,OS,Weight,Price
3384,Dell,Intel Core i3 560   3.33GHz,1665.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,262144.0,SSD,Windows 11,3.64,989.55
3385,Dell,Intel Core i7 1365U,15451.0,Intel Iris Pro Graphics 6200,1449.0,14.0,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 11,,1550.0
3386,Asus,AMD Ryzen 5 5600G,19905.0,Radeon Vega 2,506.0,16.0,1920.0,1200.0,16384.0,524288.0,SSD,Windows 11,1.86,642.97
3387,HP,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,,1089.0
3389,Lenovo,Intel Core i5 5200U   2.20GHz,2502.0,Intel UHD Graphics 600,324.0,14.0,1920.0,1080.0,8192.0,262144.0,SSD,Windows 8,1.59,699.0
3390,Asus,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,12288.0,1048576.0,SSD,Windows 11,,499.0
3391,Lenovo,Intel Core i7 12700H,26423.0,Intel Arc A730M,8274.0,16.0,2560.0,1600.0,32768.0,1048576.0,SSD,Windows 10,2.09,1449.0
3392,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 10,,959.0
3395,Lenovo,Intel Core i5 11300H   3.10GHz,10984.0,GeForce GTX 1650,7868.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,2.25,959.0
3396,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,32768.0,2097152.0,SSD,Windows 11,2.15,1029.0
3397,Asus,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,8192.0,524288.0,SSD,Windows 10,1.59,485.0
3399,Dell,Intel Core i7 1185G7   3.00GHz,10552.0,Intel Iris Pro Graphics 6200,1449.0,13.0,1920.0,1200.0,16384.0,524288.0,SSD,Windows 10,2.09,749.99
3400,Dell,Intel Core i7 13705H,23728.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,16384.0,524288.0,SSD,Windows 11,3.64,923.99
3401,Asus,AMD Ryzen 9 5900HX,22681.0,GeForce RTX 3070,22459.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,2.32,1989.95
3403,Lenovo,Intel Core i3 330UM   1.20GHz,515.0,Intel UHD Graphics 600,324.0,15.6,1366.0,768.0,4096.0,131072.0,SSD,Windows 10,1.86,259.0
3404,Dell,Intel Core i7 6700HQ   2.60GHz,6526.0,GeForce RTX 3050,12961.0,16.0,3072.0,1920.0,24576.0,2097152.0,SSD,Windows 11,,1619.0
3405,Dell,Intel Core i7 870   2.93GHz,3122.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1200.0,32768.0,524288.0,SSD,Windows 11,1.92,2140.18
