,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
1505,HP,Intel Celeron N4000   1.10GHz,1417,Intel UHD Graphics 600,324,14,1920,1080,4096,65536,Windows 10,1.45,209
1506,Dell,Intel Core i7 12650H,23276,Intel Arc,4253,15.6,1920,1080,16384,262144,Windows 10,1.53,1002.53
1507,Asus,Intel Core i9 13900H,29690,GeForce RTX 2050,7320,13.4,2560,1600,16384,1048576,Windows 11,3.14,1599.99
1508,Dell,Intel Core i7 13705H,23728,GeForce RTX 3070 Ti,23757,15.6,1920,1080,32768,1024000,Windows 11,3.64,1860.7
1509,Dell,Intel Core i7 13620H,26454,Intel UHD Graphics,1476,13.3,1920,1080,16384,524288,Windows 11,1.2,949.98
1510,Acer,AMD Ryzen 5 5625U,15084,GeForce RTX 3050,12961,15.6,1920,1080,16384,2097152,Windows 11,2.14,949
1511,Acer,AMD Ryzen 7 3700U,7186,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,8192,1048576,Windows 11,1.81,729
1512,HP,AMD Ryzen 5 4500U,10999,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,8192,262144,Windows 10,2,517.57
1513,HP,Intel Celeron N4120   1.10GHz,2527,Intel UHD Graphics 600,324,14,1366,768,8192,65536,Windows 11,1.45,249
1514,Dell,AMD Ryzen 7 6800H,23656,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 11,1.43,1099
1515,Dell,Intel Core i5 8350U   1.70GHz,6226,Intel UHD Graphics 620,1042,14.1,1366,768,8192,262144,Windows 10,1.41,1099.77
1516,Dell,Intel Core i7 11800H   2.30GHz,20753,GeForce RTX 3060,17089,17,3840,2400,32768,1048576,Windows 10,1.9,2899
1517,HP,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,17.3,1920,1080,16384,524288,Windows 11,2.39,509
1518,HP,Intel Core i5 1235U,13554,Intel Iris Xe,2690,15.6,1920,1080,16384,524288,Windows 11,0.77,839
1519,Dell,Intel Core i5 1230U,10779,Intel UHD Graphics,1476,15.6,1920,1080,16384,1048576,Windows 10,1.73,899
1520,HP,AMD Ryzen 3 5300U,9716,Ryzen 3 4300G with Radeon Graphics,2040,14,1366,768,8192,524288,Windows 11,1.58,409
1521,Luqeeg,Intel N50,2350,GeForce2 Integrated GPU,4,14,1920,1080,8192,65536,Windows 10,1.44,1000.96
1522,Dell,Intel Core i7 12700H,26423,Intel Iris Xe,2690,14,2240,1400,16384,1048576,Windows 10,1.29,949
1523,HP,Intel Celeron N3060   1.60GHz,658,Intel HD Graphics 620,926,11.6,1366,768,4096,16384,ChromeOS,1.14,198
1525,Lenovo,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,15.6,1920,1080,12288,2097152,Windows 10,1.44,719
1526,HP,Intel Core i7 1165G7   2.80GHz,10346,Intel Iris Xe,2690,15.6,1920,1080,16384,524288,Windows 10,1.75,979.99
1527,Dell,Intel Core i5 12600H,23062,Intel Arc,4253,14,1920,1080,8192,262144,Windows 10,2.08,1664.9
1528,Lenovo,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,15.6,2560,1440,32768,1048576,Windows 11,2.41,1969
1529,Dell,AMD Ryzen 5 5600H,17093,GeForce RTX 3050,12961,15.6,1920,1080,32768,1048576,Windows 11,2.45,1179.99
1530,Asus,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,15.6,1920,1080,12288,524288,Windows 11,1.8,395
1531,Dell,AMD Ryzen 7 6800H,23656,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 10,2.52,1099
1532,HP,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,15.6,1920,1080,8192,262144,Windows 11,2.1,479
1533,HP,Intel Core i3 1005G1   1.20GHz,4982,Intel UHD Graphics,1476,15.6,1366,768,4096,131072,Windows 10,1.68,362.97
1534,Acer,AMD Ryzen 5 5625U,15084,GeForce RTX 3050,12961,15.6,1920,1080,49152,2097152,Windows 10,2.14,1159
1535,Acer,Intel Core i5 1035G1   1.00GHz,7460,Intel UHD Graphics,1476,14,1920,1080,8192,262144,Windows 10,3.05,982.73
1536,Acer,Intel Core i7 1355U,15287,Intel Iris Xe,2690,15.6,1920,1080,16384,524288,Windows 11,1.78,859
1537,Acer,Intel N50,2350,Intel Arc,4253,14,1920,1080,4096,131072,Windows 11,1.84,235.31
1538,Dell,Intel Core i7 12700H,26423,GeForce RTX 3050,12961,15.6,1920,1200,65536,2097152,Windows 10,1.91,2120.08
1539,Dell,Intel Core i7 1250U,12421,GeForce RTX 4070,26876,16,1920,1200,16384,2048000,Windows 11,3.64,2341.91
1540,Lenovo,Intel Core i9 13900HX,44977,GeForce RTX 4070,26876,16,2560,1600,65536,4194304,Windows 11,2.55,2879
1541,Dell,AMD Ryzen 7 2800H,8013,Intel UHD Graphics,1476,15.6,1920,1080,16384,524288,Windows 11,3.64,649.89
1543,Asus,AMD Ryzen 9 5900HX,22681,GeForce RTX 3080,25351,15.6,1920,1080,65536,4194304,Windows 11,2.31,2649
1544,Lenovo,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,15.6,2560,1440,16384,524288,Windows 11,2.41,1759
1545,Dell,Intel Core i5 1334U,12802,Intel UHD Graphics,1476,13.3,1920,1080,16384,262144,Windows 11,1.2,739.99
1546,Lenovo,Intel Core i7 1260P,17229,Intel Iris Xe,2690,16,2560,1600,16384,524288,Windows 11,2,1199.99
1547,Asus,Intel Core i7 1165G7   2.80GHz,10346,Intel Iris Xe,2690,14,1920,1080,16384,524288,Windows 10,1.61,941.17
1548,Lenovo,Intel Core i5 1035G1   1.00GHz,7460,Intel UHD Graphics,1476,17.3,1600,900,20480,524288,Windows 11,2.2,789.99
1549,Asus,Intel Core i9 13900H,29690,GeForce RTX 4070,26876,14.5,2560,1600,32768,1048576,Windows 11,1.59,1999
1550,HP,Intel Atom 230   1.60GHz,169,Intel HD Graphics 620,926,11.6,1366,768,4096,65536,Windows 10,1.05,295
1551,Dell,Intel Core i7 1265U,14043,Intel Iris Xe,2690,14,1920,1080,16384,1048576,Windows 11,1.67,1309
1552,Acer,Intel Core i5 10300H   2.50GHz,8473,GeForce RTX 3050,12961,15.6,1920,1080,32768,1048576,Windows 11,2.3,1159
1553,Dell,Intel Core i5 4200U   1.60GHz,2187,Intel UHD Graphics,1476,12.5,1366,768,8192,512000,Windows 10,1.36,190.98
1554,Acer,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,14,1920,1080,8192,262144,Windows 11,1.7,619.37
1555,Lenovo,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,15.6,1920,1080,8192,262144,Windows 11,1.65,539
1556,Lenovo,Intel Core i5 4300U   1.90GHz,2499,Intel UHD Graphics,1476,14,1366,768,8192,512000,Windows 10,1.68,232.98
1557,Dell,Intel Core i7 13705H,23728,GeForce RTX 3050,12961,16,1920,1200,40960,2048000,Windows 10,2.05,1342.07
1558,HP,Intel Core i7 12650H,23276,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 10,1.87,1149
1559,MSI,Intel Core i9 12900H,28523,GeForce RTX 3060,17089,17.3,1920,1080,16384,2097152,Windows 11,1.68,2169
1560,Lenovo,AMD Ryzen 3 5300U,9716,Ryzen 3 4300G with Radeon Graphics,2040,14,1920,1080,4096,131072,Windows 10,1.5,359
