,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
28,ASUS,ROG Strix G15,AMD AMD Ryzen 7 AMD Ryzen 7 6800H Mobile 4.7 GHz,NVIDIA GeForce RTX 3060,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,7 Pounds,1081.27
29,Lenovo,Slim 7 ProX,AMD Ryzen 9 Ryzen 9 6900HS 3.3 GHz,NVIDIA GeForce RTX 3050,32 GB,14.5 Inches,3072 x 1920 pixels,1 TB SSD,Windows 11 Home,6.09 Pounds,1189.99
30,acer,Swift X,AMD AMD Ryzen 7 Ryzen 7 5800U 1.9 GHz,NVIDIA GeForce RTX 3050 Ti,16 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Home,3.3 Pounds,800.64
31,Lenovo,IdeaPad Flex 5,AMD Ryzen 3 5300U 5300U 2.6 GHz,AMD Radeon Graphics,4 GB,14 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 Home,5 Pounds,310.0
32,ASUS,VivoBook Pro 16,Intel Core i9 I9-13900H 5.4 GHz,NVIDIA GeForce RTX 4060,16 GB,16 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,7.45 Pounds,1199.99
33,ASUS,FX506HF-ES51,Intel Core i5 Core i5-11400H 4.5 GHz,NVIDIA GeForce RTX 2050,8 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,7.75 Pounds,779.8
34,MSI,Creator 15 A11UH-631,Intel Core i7 Core i7-11800H 8 Core 4.6 GHz,NVIDIA GeForce RTX 3080,16 GB,15.6 Inches,3840 x 2160 pixels,1 TB SSD,Windows 10,4.6 Pounds,1499.49
35,MSI,,,Nvidia,16 GB,15.6 Inches,,512 GB,Windows 10 Home,,599.0
36,Dell,Dell G15 5520,"Intel Core i7 Family 12th Generation Intel Core i7-12700H (24MB Cache, up to 4.7 GHz, 14 cores) 4.7 GHz",NVIDIA GeForce RTX 3060,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,5 Pounds,977.49
37,MSI,Thin GF63 12UC-823US,Intel Core i7 i7-12650H 1.7 GHz,NVIDIA GeForce RTX 3050,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.1 Pounds,893.08
38,ROKC,Ideapad 1,AMD Athlon AMD Athlon Silver 7120U 2.4 GHz,AMD,4 GB,15.6 Inches,1366 x 768 pixels,128 GB SSD,Windows 11,3.5 Pounds,259.99
39,Lenovo,Ideapad Gaming 3 15 Laptop,AMD Ryzen 5 Ryzen 5 5600H 3.3,NVIDIA GeForce GTX 1650,8 GB,15.6,1920x1080,,Windows 10 Home,2.25 Kilograms,604.99
40,HP,HP Victus,AMD Ryzen 5 Ryzen 5 7535HS 3.3 GHz,Dedicated NVIDIA GeForce RTX 2050 4GB Graphic,16 GB,15.6 Inches,1920x1080,1 TB SSD,Windows 11,5.04 Pounds,602.89
41,Dell,Inspiron 13 5310,Intel Core i7 Family 11th Generation Intel® Core™ i7-11390H Processor 5 GHz,NVIDIA GeForce MX450,16 GB,13.3 Inches,2560 x 1600 pixels,512 GB SSD,Windows 11 Home,2.78 Pounds,699.99
42,acer,,Intel Core I7 12700H,NVIDIA GeForce RTX 3060,16 GB,15.6 Inches,1920 x 1080 píxeles,512 GB SSD,Windows,5.07 Pounds,1085.95
43,ASUS,ROG Strix G16,Intel Core i9 I9-13980HX 5.6 GHz,NVIDIA GeForce RTX 4070,32 GB,16 Inches,2560 x 1600 pixels,,Windows 11 Pro,7 Pounds,2118.99
44,acer,A515-58GM-76KW,Intel Core i7 i7-1355U 5 GHz,NVIDIA GeForce RTX 2050,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,3.92 Pounds,999.99
45,Dell,G7620 16 inch,Intel Intel Core i9 Intel Core i9-12900H 2.9 GHz,NVIDIA GeForce RTX 3070,32 GB,16 Inches,2560 x 1600,4 TB SSD,Windows 11 Pro,5.4 Pounds,2299.0
46,HP,Envy 17-CR100,Intel Core i7 Family Intel Core i7-1355U 2.8 MHz,NVDIA GeForce RTX 3050,64 GB,17.3 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,5.5 Pounds,1809.0
47,MSI,Prestige 14 A12UC-006,Intel Core i7 Core i7-1260P 4.7 GHz,NVIDIA GeForce RTX 3050,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,4.64 Pounds,879.99
48,ASUS,Creator Laptop Q,Intel Core i7 Family Intel Core i7-13620H 3.1 GHz,NVIDIA GeForce RTX 3050,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.97 Pounds,929.49
49,Alienware,Alienware m18 AMD Gaming Laptop,AMD Ryzen 9 7845HX 5.2 GHz,NVIDIA GeForce RTX 4080,32 GB,18 Inches,1920 x 1200 pixels,1 TB SSD,Windows 11 Home,9.3 Pounds,2899.98
50,HP,Pavilion 15T-EG200,Intel Core i7 Family Intel Core i7-1255U 2.9 GHz,NVIDIA GeForce MX550,64 GB,15.6 Inches,1920 x 1080 pixels,4 TB SSD,Windows 11 Home,3.9 Pounds,1709.0
