,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Price,New Weight
1116,Lenovo,Intel Core i5 9300H   2.40GHz,7646.0,GeForce GTX 1650,7868.0,15.6,1600.0,1200.0,8192.0,524288.0,Windows 10,789.99,2.18
1117,Acer,Intel Core i5 10300H   2.50GHz,8473.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,262144.0,Windows 10,899.0,2.32
1118,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,1920.0,1200.0,65536.0,1024000.0,Windows 11,2068.11,3.64
1119,Acer,AMD Ryzen 7 7840HS,28906.0,GeForce RTX 4060,19560.0,17.3,2560.0,1600.0,65536.0,4194304.0,Windows 11,2149.0,3.03
1120,Lenovo,Intel Core i7 13700H,28003.0,GeForce RTX 2050,7320.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 10,1349.0,2.41
1122,HP,Intel Core i7 13620H,26454.0,Intel Iris Plus,1818.0,15.6,1920.0,1080.0,12288.0,524288.0,Windows 10,879.99,1.97
1123,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4070,26876.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,1227.72,2.27
1124,Acer,MediaTek MT8183,2424.0,Intel UHD Graphics 600,324.0,11.6,1366.0,768.0,32768.0,32768.0,ChromeOS,195.0,1.82
1125,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,16.0,2560.0,1600.0,49152.0,1048576.0,Windows 10,1649.0,3.64
1126,Lenovo,AMD Ryzen 5 7530U,16506.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920.0,1080.0,8192.0,524288.0,Windows 10,599.0,3.64
1127,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,17.0,1920.0,1200.0,16384.0,524288.0,Windows 11,2078.67,3.64
1128,Lenovo,AMD Ryzen 5 5500U,13144.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,36864.0,1048576.0,Windows 11,1099.99,1.5
1129,Dell,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,32768.0,1048576.0,Windows 10,1419.0,2.53
1130,Microsoft,Intel N50,2350.0,Intel Arc,4253.0,14.0,1920.0,1080.0,8192.0,1048576.0,No OS,582.77,2.81
1131,MSI,Intel Core i7 1360P,19333.0,Intel Iris Xe,2690.0,16.0,2560.0,1600.0,32768.0,1048576.0,Windows 11,1974.0,3.09
1132,Dell,Intel Core i7 11800H   2.30GHz,20753.0,Quadro 2000 D,1239.0,15.6,3456.0,2160.0,16384.0,524288.0,Windows 10,1499.0,2.09
1133,Dell,Intel Core i5 5200U   2.20GHz,2502.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,8192.0,524288.0,Windows 10,276.98,1.9
1134,MSI,AMD Ryzen 5 7530U,16506.0,Ryzen 5 4500U with Radeon Graphics,1817.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,699.0,2.55
1135,HP,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,849.99,1.73
1136,Lenovo,Intel Core i7 13700H,28003.0,GeForce RTX 4060,19560.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,1399.0,2.02
1137,Acer,Intel Core i5 10300H   2.50GHz,8473.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,262144.0,Windows 10,899.0,2.31
1138,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 10,1039.0,2.56
1139,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3070,22459.0,17.3,1920.0,1800.0,32768.0,1048576.0,Windows 11,1495.0,2.82
1140,Dell,Intel Celeron N5100   1.10GHz,3310.0,Intel Arc,4253.0,11.6,1366.0,768.0,4096.0,131072.0,Windows 11,329.86,1.34
1141,Dell,Intel Core i9 12900H,28523.0,GeForce RTX 3070,22459.0,16.0,2560.0,1600.0,65536.0,4194304.0,Windows 11,2449.0,2.45
1142,Samsung,Intel Celeron N4000   1.10GHz,1417.0,Intel Arc,4253.0,15.6,1366.0,768.0,4096.0,131072.0,Windows 10,351.74,1.7
1143,Acer,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,2097152.0,Windows 11,1149.99,3.0
1144,HP,Intel Core i3 1125G4   2.00GHz,9737.0,Intel UHD Graphics,1476.0,17.3,1600.0,900.0,16384.0,1048576.0,Windows 11,515.0,2.09
1145,MSI,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3070,22459.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 11,1758.0,3.73
1147,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,13.3,1920.0,1080.0,8192.0,262144.0,Windows 10,594.9,1.32
1148,HP,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,32768.0,2097152.0,Windows 11,1469.0,1.62
1149,Lenovo,Intel Core i7 10510U   1.80GHz,6650.0,Intel UHD Graphics 620,1042.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 10,1028.58,1.91
1150,Asus,Intel Core i7 8750H   2.20GHz,9947.0,GeForce GTX 1060,10075.0,15.6,1920.0,1080.0,16384.0,1286144.0,Windows 10,1595.0,0.35
1151,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,14.0,1920.0,1080.0,16384.0,524288.0,Windows 11,669.0,1.4
1152,Asus,Intel Core i7 13650HX,32140.0,GeForce RTX 4060,19560.0,16.0,1920.0,1200.0,65536.0,2097152.0,Windows 10,2279.0,2.45
1153,Dell,Intel Core i5 12450H,17441.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,4194304.0,Windows 11,991.99,1.59
1154,Acer,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1048576.0,Windows 11,1649.0,2.32
1155,Lenovo,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,14.0,1920.0,1080.0,8192.0,262144.0,Windows 10,649.0,1.45
1156,Lenovo,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics,1476.0,17.3,1600.0,900.0,8192.0,1024000.0,Windows 10,329.0,2.09
1157,Lenovo,Intel Core i7 10750H   2.60GHz,12012.0,Quadro T2000,7176.0,17.3,1920.0,1080.0,32768.0,1048576.0,Windows 10,1549.77,2.08
1158,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,16.0,2560.0,1600.0,16384.0,1048576.0,Windows 11,1549.0,2.7
1159,Dell,Intel Core i5 5200U   2.20GHz,2502.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,8192.0,131072.0,Windows 10,239.98,1.55
1160,Asus,Intel Core i7 12650H,23276.0,GeForce RTX 3050,12961.0,16.0,2560.0,1600.0,32768.0,1048576.0,Windows 11,1399.99,2.0
1161,HP,Intel Celeron N4500   1.10GHz,2003.0,Intel HD Graphics 620,926.0,14.0,1366.0,768.0,4096.0,32768.0,ChromeOS,501.5,2.95
1162,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3080 Ti,27324.0,16.0,2560.0,1600.0,32768.0,1048576.0,Windows 11,1599.99,3.9
1163,Asus,Intel Core i7 9750H   2.60GHz,10936.0,GeForce GTX 1650,7868.0,15.6,1920.0,1080.0,8192.0,524288.0,Windows 10,919.0,2.18
1164,Dell,Intel Core i7 985   3.47GHz,3928.0,Intel UHD Graphics,1476.0,13.4,1920.0,1200.0,16384.0,2048000.0,Windows 11,1258.94,1.23
1165,HP,Intel Core i7 12700H,26423.0,GeForce RTX 3070 Ti,23757.0,17.3,2560.0,1440.0,65536.0,2097152.0,Windows 10,2719.0,2.73
1166,Lenovo,AMD C 30,178.0,Radeon Vega 8,1585.0,17.3,1920.0,1200.0,65536.0,2097152.0,No OS,1147.23,2.25
1167,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 10,879.0,2.15
1168,Dell,Intel Core i7 13620H,26454.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,32768.0,1024000.0,Windows 11,1039.49,1.22
1169,ROKC,Intel Core i3 1110G4   1.80GHz,4390.0,Intel Arc,4253.0,14.0,1920.0,1080.0,20480.0,1024000.0,Windows 11,389.99,1.5
1170,Samsung,Intel Celeron N3450   1.10GHz,1988.0,Intel UHD Graphics 600,324.0,11.6,1366.0,768.0,4096.0,32768.0,ChromeOS,148.0,1.18
1171,MSI,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 11,1599.99,3.09
1172,HP,Intel Core i7 1360P,19333.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,1109.0,2.8
1173,Lenovo,AMD Ryzen 7 7745HX,32929.0,GeForce RTX 4060,19560.0,16.0,2560.0,1600.0,32768.0,1048576.0,Windows 11,1929.99,2.5
1174,HP,Intel Core i9 13900H,29690.0,GeForce RTX 4060,19560.0,16.0,2560.0,1600.0,32768.0,1048576.0,Windows 11,1749.0,4.52
1175,Lenovo,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3070 Ti,23757.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,1749.0,2.41
1176,Acer,AMD Ryzen 7 5700U,15853.0,Ryzen 3 4300G with Radeon Graphics,2040.0,14.0,1920.0,1080.0,8192.0,65536.0,Windows 10,583.0,1.18
