,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
0,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3080 Laptop GPU,16544.0,16.0,2560,1600,32.0,1024.0,Windows 11,2.89,2169.0
1,IST Computers,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,1024.0,Windows 11,1.75,799.98
2,Lenovo,Intel Core i7 1250U,12421.0,Intel HD Graphics 620,926.0,15.6,1920,1080,256.0,256.0,Windows 10,1.16,926.0
3,Dell,Intel Core i5 6200U   2.30GHz,2999.0,GeForce2 Integrated GPU,4.0,16.0,2560,1600,16.0,512.0,Windows 10,3.64,319.99
4,Acer,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 2050,7320.0,17.3,1920,1080,32.0,2048.0,Windows 11,3.0,1569.0
5,HP,Intel Core i5 13420H,18753.0,GeForce RTX 3050,12961.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.68,945.0
6,HP,Intel Pentium Silver N5030   1.10GHz,2621.0,Intel Arc,4253.0,15.6,1366,768,16.0,1000.0,Windows 11,1.77,459.99
7,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,14.0,1920,1080,8.0,256.0,Windows 10,1.37,519.0
8,Lenovo,Intel Core i5 1245U,13481.0,Intel UHD Graphics,1476.0,14.0,1920,1080,8.0,256.0,Windows 11,1.08,919.68
9,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,16.0,3072,1920,16.0,512.0,Windows 10,3.29,1389.0
10,HP,Intel Celeron 1.70GHz,101.0,Intel HD Graphics 620,926.0,14.0,1366,768,4.0,32.0,ChromeOS,1.63,298.0
12,Lenovo,Intel Core i3 1210U,10641.0,Intel HD Graphics 620,926.0,15.6,1920,1080,20.0,256.0,Windows 10,2.68,594.79
13,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.2,829.0
14,HP,Intel Core i5 1335U,16980.0,Intel Iris Xe,2690.0,17.3,1920,1080,16.0,512.0,Windows 11,1.85,662.0
15,Dell,Intel Core i9 13980HX,48083.0,RTX A2000,13772.0,17.0,3840,2400,64.0,2000.0,Windows 11,3.64,3100.23
16,Lenovo,Intel Core i7 12800HX,32744.0,RTX A2000,13772.0,16.0,3840,2400,64.0,4096.0,Windows 10,2.17,2559.0
17,Lenovo,AMD Ryzen 5 3500U,6978.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1080,8.0,256.0,Windows 10,1.77,689.99
18,Lenovo,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics,1476.0,17.3,1600,900,36.0,1024.0,Windows 10,2.2,999.99
19,Dell,Intel Core i7 1365U,15451.0,Intel HD Graphics 620,926.0,14.0,1920,1080,16.0,512.0,Windows 11,2.22,2520.99
20,Acer,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,16.0,2560,1600,16.0,2048.0,Windows 11,2.68,1339.99
21,Asus,Intel Core i5 1340P,20247.0,Intel Iris Xe,2690.0,14.0,2560,1600,16.0,512.0,Windows 11,2.95,999.0
22,Dell,AMD Ryzen 7 2700,15735.0,GeForce RTX 3070 Ti,23757.0,17.3,1920,1080,16.0,512.0,Windows 11,3.64,1406.58
23,Asus,Intel Core i9 12900H,28523.0,GeForce RTX 3080 Ti,27324.0,15.6,2560,1440,32.0,1024.0,Windows 11,2.3,2985.98
24,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,1920,1080,16.0,1000.0,Windows 11,3.64,1837.6
25,Dell,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,16.0,1920,1200,16.0,1024.0,Windows 10,1.95,879.99
26,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4060,19560.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.22,1399.99
29,Acer,Intel Celeron N3350   1.10GHz,1108.0,Intel HD Graphics 620,926.0,11.6,1366,768,4.0,32.0,ChromeOS,1.26,219.99
30,Lenovo,Intel Core i5 10210U   1.60GHz,6228.0,Intel UHD Graphics,1476.0,15.6,1366,768,12.0,512.0,Windows 10,1.64,766.0
31,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1920,1080,32.0,1024.0,Windows 10,2.1,499.79
32,Dell,Intel Core i5 8350U   1.70GHz,6226.0,Intel UHD Graphics 620,1042.0,15.6,1366,768,8.0,500.0,Windows 10,5.49,529.99
33,HP,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.34,1299.99
34,Dell,Intel Core i5 1145G7   2.60GHz,9970.0,Intel Iris Xe,2690.0,13.3,1920,1080,16.0,512.0,Windows 11,2.01,739.0
35,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3080 Ti,27324.0,15.6,1920,1080,32.0,512.0,Windows 11,3.64,1799.48
36,Asus,Intel Celeron 1000MHz,139.0,Intel UHD Graphics,1476.0,11.6,1366,768,4.0,128.0,Windows 11,1.69,419.08
37,MSI,Intel Core i7 1280P,20450.0,GeForce RTX 3060,17089.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.69,1460.61
38,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4060,19560.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.22,1149.99
39,Asus,Intel Celeron N4000   1.10GHz,1417.0,Intel UHD Graphics,1476.0,14.0,1920,1080,4.0,64.0,Windows 10,1.5,325.0
40,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,14.0,1920,1080,8.0,1024.0,Windows 10,1.77,699.99
41,Asus,Intel Core i5 12600,21384.0,GeForce GT 335M,389.0,14.0,1366,768,4.0,500.0,Windows 7,2.3,999.0
42,Acer,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,13.5,2256,1504,8.0,1024.0,Windows 11,1.18,899.0
43,Dell,Intel Core i9 13900HX,44977.0,GeForce RTX 4060,19560.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.04,2049.0
44,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,1.44,448.79
45,Lenovo,Intel Core i5 1240P,17329.0,Intel Iris Xe,2690.0,12.0,2560,1600,8.0,256.0,Windows 11,2.46,999.0
46,Lenovo,Intel Core i3 1210U,10641.0,Intel HD Graphics 620,926.0,14.0,1920,1080,8.0,256.0,Windows 10,1.53,484.99
47,Asus,AMD Ryzen 7 7730U,18825.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,8.0,1024.0,Windows 11,2.22,745.33
48,Dell,Intel Core i5 12450H,17441.0,GeForce GTX 1650,7868.0,15.6,1920,1080,8.0,512.0,Windows 10,2.73,4814.88
49,Lenovo,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,14.0,2240,1400,16.0,1024.0,Windows 11,1.59,1099.0
50,Acer,Intel Core i3 1005G1   1.20GHz,4982.0,Intel HD Graphics 620,926.0,15.6,1920,1080,4.0,256.0,Windows 10,2.22,476.78
52,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1366,768,16.0,1024.0,Windows 11,1.7,439.0
53,Lenovo,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,16.0,1920,1200,16.0,1024.0,Windows 11,1.77,1259.0
54,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics 630,1247.0,15.6,1920,1080,16.0,256.0,Windows 10,2.07,599.79
55,Asus,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,2.6,943.62
56,Asus,Intel Core i7 13650HX,32140.0,GeForce RTX 4060,19560.0,15.6,1920,1200,16.0,512.0,Windows 11,2.5,1699.99
57,HP,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.11,949.99
58,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,17.3,3840,2160,32.0,1000.0,Windows 11,3.64,2929.79
59,Microsoft,Intel Core i5 750S   2.40GHz,1326.0,Intel HD Graphics 620,926.0,12.4,1920,1080,8.0,256.0,Windows 11,1.13,699.99
60,MSI,Intel Core i7 13650HX,32140.0,GeForce RTX 2050,7320.0,15.6,1920,1080,32.0,1024.0,Windows 11,3.05,1359.0
61,Dell,Intel Core i5 6300U   2.40GHz,3240.0,Intel UHD Graphics,1476.0,14.0,1366,768,8.0,256.0,Windows 10,2.86,490.0
62,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,1920,1200,64.0,2000.0,Windows 11,3.64,2105.55
63,HP,Intel Core i5 1245U,13481.0,Intel Iris Xe,2690.0,14.0,1920,1200,32.0,512.0,Windows 10,1.34,899.0
64,HP,Intel Core i3 1215U,11027.0,Intel Iris Xe,2690.0,14.0,1920,1080,8.0,256.0,Windows 11,1.5,419.99
65,HP,Intel Core i5 1230U,10779.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,256.0,Windows 11,2.0,503.99
66,HP,Intel Core i9 12900H,28523.0,GeForce RTX 3060,17089.0,16.1,2560,1440,24.0,1024.0,Windows 10,2.06,1799.0
67,Asus,Intel Celeron N4500   1.10GHz,2003.0,Intel UHD Graphics,1476.0,14.0,1600,768,4.0,128.0,Windows 11,1.77,369.99
68,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,14.0,1920,1080,16.0,512.0,Windows 11,3.64,1595.38
69,HP,Intel Core i3 1125G4   2.00GHz,9737.0,Intel UHD Graphics,1476.0,17.3,1920,1080,32.0,1024.0,Windows 11,2.09,779.0
70,Lenovo,Intel Core i7 13700H,28003.0,Intel HD Graphics 620,926.0,16.0,1920,1200,16.0,512.0,Windows 10,1.94,1459.0
71,Dell,AMD Ryzen 5 5625U,15084.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1200,32.0,512.0,Windows 11,2.54,675.0
72,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,15.6,1920,1200,64.0,2048.0,Windows 10,1.91,2120.08
73,Dell,Intel Core i7 1250U,12421.0,GeForce RTX 2050,7320.0,15.6,1366,768,16.0,4000.0,Windows 11,3.64,2105.07
74,HP,AMD Ryzen 5 5500U,13144.0,Intel UHD Graphics,1476.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.77,726.79
75,HP,AMD Ryzen 5 5500U,13144.0,Radeon Pro Vega 64,12984.0,17.3,1920,1080,16.0,256.0,Windows 10,2.22,699.79
76,Lenovo,AMD Ryzen 7 5825U,18462.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.68,949.99
77,Dell,Intel Core i7 1250U,12421.0,Quadro T1000,6608.0,15.6,1920,1200,32.0,1024.0,Windows Pro,2.05,1299.99
78,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.22,1539.99
79,Dell,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,799.0
80,MSI,Intel Core i9 13950HX,44905.0,GeForce RTX 4060,19560.0,13.3,1920,1200,32.0,1024.0,Windows 11,1.79,2114.99
81,HP,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.75,1179.0
82,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,16.0,256.0,Windows 10,1.77,536.99
83,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,499.79
84,Dell,Intel Core i7 12700TE,15616.0,RTX 3500 Ada Generation Laptop GPU,20905.0,17.0,1920,1080,32.0,1024.0,Windows 11,3.05,3592.26
85,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1920,1080,16.0,256.0,Windows 10,1.77,479.79
86,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,32.0,512.0,Windows 11,1.89,599.76
87,Dell,Intel Core i7 13700H,28003.0,Intel Arc,4253.0,13.4,1920,1200,16.0,512.0,Windows 11,1.23,1497.87
88,Dell,Intel Core i7 1260P,17229.0,Intel Iris Xe,2690.0,16.0,1920,1200,32.0,2048.0,Windows 11,2.1,1665.02
89,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,1920,1200,32.0,512.0,Windows 11,3.64,1932.92
90,HP,Intel Core i5 13420H,18753.0,GeForce RTX 3050,12961.0,15.6,1920,1080,6.0,2048.0,Windows 11,2.32,849.0
91,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,512.0,Windows 11,1.77,529.19
92,Asus,Intel Core i7 13700H,28003.0,GeForce RTX 2050,7320.0,14.0,1920,1200,16.0,1024.0,Windows 11,6.36,1059.59
93,Samsung,Intel Celeron N4500   1.10GHz,2003.0,Intel UHD Graphics,1476.0,14.0,1366,768,4.0,32.0,Chrome OS,1.75,310.07
94,Dell,Intel Core i7 1185G7E   2.80GHz,10444.0,Intel HD Graphics 620,926.0,13.3,1920,1280,16.0,512.0,Windows 11,2.29,1782.32
95,HP,AMD Ryzen 5 4500U,10999.0,Ryzen 3 4300G with Radeon Graphics,2040.0,17.3,1920,1080,12.0,256.0,Windows 11,2.32,719.0
96,Dell,Intel Core i9 13900,48120.0,RTX A2000,13772.0,17.3,1920,1080,64.0,4000.0,Windows 11,3.64,2859.48
97,HP,AMD Ryzen 5 7530U,16506.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,17.3,1600,900,64.0,1024.0,Windows 11,2.22,832.99
98,Lenovo,AMD Ryzen 9 6900HS Creator Edition,22240.0,Radeon RX Vega M GH,6580.0,15.6,1920,1080,32.0,1024.0,Windows 10,0.45,849.86
99,Lenovo,AMD Ryzen 9 PRO 7940HS,27909.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,16.0,1920,1200,16.0,1024.0,Windows 10,2.2,1779.0
101,Dell,Intel Core i7 985   3.47GHz,3928.0,RTX A2000,13772.0,16.0,1920,1200,64.0,1000.0,Windows 11,2.61,2214.9
102,Asus,Intel Core i7 12700H,26423.0,GeForce RTX 4070,26876.0,15.6,1920,1080,24.0,1024.0,Windows 11,3.64,1439.0
103,LG,AMD Ryzen 5 4500U,10999.0,Ryzen 3 4300G with Radeon Graphics,2040.0,13.3,1920,1080,8.0,256.0,Windows 11,1.54,649.0
104,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,519.79
105,Asus,AMD Ryzen 3 7320C,8686.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1200,8.0,2048.0,Chrome OS,1.78,485.99
106,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4070,26876.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.27,1227.72
107,HP,Intel Core i3 1125G4   2.00GHz,9737.0,Intel HD Graphics 620,926.0,17.3,1600,900,16.0,1024.0,Windows 11,2.22,539.99
108,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel HD Graphics 620,926.0,15.6,1920,1080,16.0,512.0,Windows 11,1.77,548.79
109,Lenovo,AMD Ryzen 7 5700U,15853.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1080,8.0,256.0,Windows 10,1.64,624.49
110,HP,Intel Core i5 8250U   1.60GHz,5897.0,Intel UHD Graphics 620,1042.0,14.1,1920,1080,16.0,512.0,Windows 10,1.5,263.04
111,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,499.79
112,MSI,Intel Core i9 13950HX,44905.0,GeForce RTX 4070,26876.0,17.0,2560,1600,64.0,2048.0,Windows 11,2.49,3717.99
113,HP,Intel Core i7 1185G7E   2.80GHz,10444.0,Intel Iris Xe,2690.0,14.0,1920,1080,32.0,2048.0,Windows 10,3.06,1379.0
114,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,14.0,1280,800,8.0,512.0,Windows 11,3.64,831.59
115,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1366,768,32.0,1024.0,Windows 11,2.68,699.79
116,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel HD Graphics 620,926.0,15.6,1920,1080,16.0,256.0,Windows 11,1.77,566.79
117,MSI,Intel Core i7 1250U,12421.0,GeForce RTX 3060,17089.0,17.3,1920,1080,16.0,1024.0,Windows 10,1.75,1599.99
118,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,36.0,2048.0,Windows 11,1.6,650.0
119,Acer,Intel Pentium Silver N6000   1.10GHz,3089.0,Intel UHD Graphics,1476.0,14.0,1366,768,8.0,128.0,ChromeOS,1.55,390.2
120,Dell,Intel Core i5 1145G7   2.60GHz,9970.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,2.0,719.04
121,Dell,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.64,799.49
122,HP,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,17.3,1920,1080,12.0,256.0,Windows 11,2.23,779.0
123,Asus,Intel Core i9 13980HX,48083.0,GeForce RTX 4070,26876.0,16.0,2560,1600,16.0,1024.0,Windows 11,1.9,1959.99
124,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,16.0,256.0,Windows 10,1.77,498.76
125,HP,Intel Core i5 1335U,16980.0,Intel Iris Xe,2690.0,17.3,1920,1080,16.0,512.0,Windows 11,2.68,651.19
126,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,16.0,1920,1200,8.0,512.0,Windows 11,1.96,1099.0
127,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,17.0,3840,2400,48.0,2048.0,Windows 10,2.0,3329.0
128,LG,Intel Core i5 1340P,20247.0,Intel Iris Xe,2690.0,14.0,1920,1200,8.0,256.0,Windows 11,1.0,1062.05
129,Dell,Intel Core i5 1235U,13554.0,Intel Arc,4253.0,16.0,1920,1200,32.0,1000.0,Windows 11,1.86,899.99
130,Dell,AMD Ryzen 5 7530U,16506.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920,1080,16.0,512.0,Windows 10,1.56,559.0
131,Lenovo,Intel Core i7 1365U,15451.0,Intel Iris Xe,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.76,2010.74
132,HP,Intel Celeron N4000   1.10GHz,1417.0,Intel UHD Graphics 600,324.0,14.0,1366,768,4.0,64.0,ChromeOS,3.22,217.0
133,Dell,Intel Core i7 13700H,28003.0,RTX A2000,13772.0,15.6,1920,1080,32.0,512.0,Windows 11,3.64,1385.99
134,Asus,AMD Ryzen 9 7945HX,55651.0,GeForce RTX 4090,38874.0,16.0,1920,1080,32.0,2048.0,Windows 11,2.67,3999.99
135,Dell,Intel Core i7 1250U,12421.0,Intel Arc,4253.0,13.3,1920,1080,16.0,256.0,Windows 11,3.64,1222.82
136,Dell,Intel Core i7 1185G7   3.00GHz,10552.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.71,804.0
137,Dell,Intel Core i5 12600H,23062.0,Intel Arc,4253.0,14.0,1920,1080,8.0,256.0,Windows 10,2.08,1664.9
139,Dell,AMD Ryzen 5 3450U,6734.0,Radeon RX Vega 8,1487.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,599.99
140,Dell,Intel Core i7 8650U   1.90GHz,6287.0,Intel UHD Graphics,1476.0,14.0,1366,768,8.0,128.0,Windows 10,1.6,392.98
141,Dell,Intel Core i5 12600H,23062.0,Intel UHD Graphics,1476.0,13.3,1920,1080,8.0,1000.0,Windows 11,1.19,808.49
142,Dell,Intel Core i5 1334U,12802.0,Intel UHD Graphics,1476.0,14.0,1920,1080,16.0,256.0,Windows 10,3.64,923.99
143,Acer,AMD Ryzen 7 6800HS,22947.0,GeForce RTX 3070 Ti,23757.0,15.6,2560,1440,16.0,1024.0,Windows 11,2.5,1179.99
144,Dell,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.68,843.0
145,HP,Intel Core i9 12900H,28523.0,GeForce RTX 3060,17089.0,16.1,2560,1440,16.0,1024.0,Windows 11,2.36,1549.0
146,Lenovo,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 10,1.7,1199.99
147,Dell,Intel Core i5 2310   2.90GHz,3642.0,Intel UHD Graphics,1476.0,13.3,1920,1080,16.0,512.0,Windows 10,1.14,764.6
148,MSI,Intel Core i7 9750H   2.60GHz,10936.0,GeForce GTX 1660,11706.0,15.6,1920,1080,16.0,512.0,Windows 10,2.32,999.0
149,Lenovo,AMD Ryzen 5 4600U,13467.0,Radeon Pro Vega 64,12984.0,14.0,1920,1080,24.0,256.0,Windows 10,1.77,759.99
150,Acer,AMD Embedded R Series RX 216GD,1628.0,GeForce RTX 3050 Ti Laptop GPU,10181.0,14.0,1920,1080,16.0,1024.0,Windows 10,2.01,999.0
151,Dell,Intel Core i7 13700TE,27933.0,Intel UHD Graphics,1476.0,15.6,1920,1080,16.0,256.0,Windows 11,1.61,1505.95
152,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4060,19560.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.0,1149.99
153,MSI,Intel Core i7 1280P,20450.0,GeForce RTX 3060,17089.0,17.3,1920,1080,16.0,512.0,Windows 10,3.13,1649.0
154,HP,AMD Athlon Silver 3050U,3000.0,Ryzen 3 4300G with Radeon Graphics,2040.0,14.0,1366,768,4.0,256.0,Windows 11,1.48,449.54
155,HP,Intel Pentium Silver N5000   1.10GHz,2595.0,Intel UHD Graphics 605,369.0,11.6,1366,768,4.0,128.0,Windows 10,1.27,284.07
156,Lenovo,Intel Core i7 2640M   2.80GHz,2495.0,GeForce RTX 2060,14124.0,17.3,1920,1080,16.0,256.0,Windows 10,3.0,1599.0
157,Lenovo,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 10,1.8,1199.99
158,Acer,Intel Core i5 12450H,17441.0,GeForce RTX 3050,12961.0,17.3,1920,1080,8.0,512.0,Windows 11,3.0,883.99
159,Dell,Intel Core i7 1255U,13775.0,GeForce MX570,6020.0,16.0,1920,1200,24.0,1024.0,Windows 11,1.87,1399.0
160,Lenovo,AMD Ryzen 5 4600U,13467.0,Radeon Pro Vega 64,12984.0,14.0,1920,1080,24.0,1024.0,Windows 10,1.77,759.99
161,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics 630,1247.0,15.6,1920,1080,8.0,2048.0,Windows 10,1.77,625.0
162,HP,Intel Pentium N4200   1.10GHz,2169.0,Intel Arc,4253.0,15.6,1366,768,8.0,64.0,ChromeOS,1.73,309.99
163,Acer,AMD Ryzen 7 7840HS,28906.0,GeForce RTX 4060,19560.0,17.3,2560,1600,64.0,2048.0,Windows 11,3.0,1919.0
164,Asus,Intel Core i7 13620H,26454.0,GeForce RTX 3050,12961.0,15.6,1920,1080,16.0,2048.0,Windows 10,1.68,1329.99
165,Asus,Intel Celeron N4500   1.10GHz,2003.0,Intel UHD Graphics,1476.0,17.3,1920,1080,4.0,64.0,ChromeOS,2.41,249.8
166,HP,AMD Ryzen 5 6600U,17139.0,Ryzen 3 4300G with Radeon Graphics,2040.0,14.0,1920,1200,32.0,1024.0,Windows 10,1.4,1325.61
167,Dell,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.68,793.99
168,Lenovo,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.92,899.97
169,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,499.79
170,Lenovo,Intel Core i7 8850H   2.60GHz,10298.0,Quadro P3200,9100.0,17.3,1920,1080,16.0,512.0,Windows 10,1.1,1980.51
171,Lenovo,AMD Ryzen 3 7320U,9072.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,8.0,1024.0,Windows 11,1.47,439.99
172,Lenovo,Intel Core i7 1365U,15451.0,Intel Iris Xe,2690.0,13.3,1920,1200,16.0,512.0,Windows 10,1.77,1149.99
173,Lenovo,Intel Core i7 12700TE,15616.0,Intel Iris Xe,2690.0,13.3,1920,1200,16.0,512.0,Windows 11,1.64,1631.99
174,Acer,Intel Core i3 1005G1   1.20GHz,4982.0,Intel HD Graphics 620,926.0,15.6,1920,1080,20.0,1024.0,Windows 10,1.52,699.99
175,Dell,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,2.42,349.99
176,HP,AMD Ryzen 3 3250U,3855.0,Intel UHD Graphics,1476.0,15.6,1366,768,16.0,1024.0,Windows 10,1.77,599.79
177,Lenovo,AMD Ryzen 7 7730U,18825.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1200,16.0,512.0,Windows 11,1.78,901.87
178,Dell,Intel Xeon E 2286M   2.40GHz,15128.0,Radeon Pro WX 7130,6577.0,17.3,1920,1080,64.0,1024.0,Windows 11,2.14,1595.95
179,Dell,Intel Core i5 1334U,12802.0,GeForce RTX 3050,12961.0,15.6,1920,1080,8.0,512.0,Windows 11,3.64,1013.88
181,Lenovo,AMD Athlon 64 X2 Dual Core 3800+,636.0,Intel UHD Graphics,1476.0,14.0,1366,768,4.0,128.0,Windows 10,1.41,216.0
182,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,20.0,1024.0,Windows 11,0.78,604.79
184,Lenovo,Intel Core i3 1210U,10641.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,256.0,Windows 10,1.77,388.79
185,HP,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,14.0,1920,1080,8.0,512.0,Windows 11,1.77,619.79
186,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1920,1080,20.0,1024.0,Windows 10,2.02,549.79
187,Dell,AMD Ryzen 7 5825U,18462.0,Ryzen 3 4300G with Radeon Graphics,2040.0,14.0,1920,1200,64.0,2048.0,Windows 11,1.64,1599.0
188,Asus,Intel Core i7 1185G7E   2.80GHz,10444.0,Intel HD Graphics 620,926.0,14.0,1920,1080,16.0,512.0,Windows 10,1.94,908.92
189,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,13.3,1920,1200,16.0,512.0,Windows 10,2.18,645.0
