,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
4444,Lenovo,AMD Ryzen 5 5625U,15084.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1080,8.0,256.0,Windows 11,2.02,709.99
4445,Dell,AMD Ryzen 7 5825U,18462.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,16.0,1920,1200,64.0,2048.0,Windows 11,1.62,999.99
4446,Lenovo,Intel Core i7 4560U   1.60GHz,2950.0,Intel Iris Xe,2690.0,14.0,2240,1400,16.0,512.0,Windows 11,2.32,535.99
4447,Goldengulf,Intel Atom x5 Z8350   1.44GHz,896.0,Q12U 1,5164.0,10.1,1280,800,2.0,32.0,Windows 7,1.1,218.86
4448,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,512.0,Windows 10,2.22,519.46
4449,Dell,Intel Core i7 12650H,23276.0,GeForce RTX 2060,14124.0,15.6,1920,1080,8.0,256.0,Windows 10,2.36,5087.88
4450,Lenovo,AMD Ryzen 7 5825U,18462.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920,1080,24.0,1024.0,Windows 11,2.68,906.82
4451,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,14.0,1920,1080,8.0,256.0,Windows 10,1.77,899.0
4452,Dell,AMD Ryzen 5 7530U,16506.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.7,549.99
4453,Dell,AMD Ryzen 7 5700U,15853.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.83,761.31
4454,HP,Intel Core i3 1210U,10641.0,Intel UHD Graphics 620,1042.0,14.0,1920,1080,16.0,1024.0,Windows 11,1.77,2399.0
4455,Lenovo,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3060,17089.0,15.6,2560,1440,16.0,512.0,Windows 10,2.35,1299.99
4456,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,15.6,2560,1600,32.0,2048.0,Windows 10,2.7,1849.0
4457,Dell,Intel Core i7 13700H,28003.0,Radeon HD 8690M,984.0,14.0,1366,768,8.0,320.0,Windows 7,2.14,649.99
4458,Samsung,Qualcomm Snapdragon 810,1316.0,Qualcomm Adreno 540 GPU,118.0,14.0,1920,1080,4.0,128.0,Windows 11,1.39,289.0
4459,Lenovo,Intel Core i5 1155G7   2.50GHz,10280.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,512.0,Windows 11,2.38,479.0
4460,Lenovo,Intel Core i7 1195G7   2.90GHz,11045.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.46,889.99
4461,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,2.07,639.99
4462,Dell,Intel Core i5 12600H,23062.0,Intel Arc,4253.0,13.3,1920,1080,8.0,256.0,Windows 10,1.24,785.39
4463,Dell,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,16.0,1920,1200,16.0,1024.0,Windows 11,1.87,899.0
4464,CTL,Intel Celeron N5100   1.10GHz,3310.0,Intel HD Graphics 620,926.0,11.6,1366,768,8.0,64.0,Chrome OS,0.98,307.88
4465,Dell,Intel Core i7 13800H,27476.0,GeForce GTX 1080,15507.0,16.0,1920,1200,32.0,1024.0,Windows 11,1.61,3205.66
4466,Asus,AMD Ryzen 7 5800HS,20356.0,Ryzen 3 4300G with Radeon Graphics,2040.0,16.0,1600,768,16.0,512.0,Windows 11,1.86,579.99
4467,Acer,AMD Athlon 300U,3942.0,Intel UHD Graphics,1476.0,14.0,1920,1080,4.0,128.0,Windows 10,2.27,299.99
4468,Asus,Intel Core i7 12650H,23276.0,GeForce RTX 3070,22459.0,15.6,1920,1080,16.0,2048.0,Windows 11,2.0,1343.69
4469,Lenovo,Intel Core i7 1260P,17229.0,Intel Iris Xe,2690.0,16.0,2560,1600,16.0,512.0,Windows 11,2.0,1199.99
4470,Asus,Intel Core i3 12100TE,12961.0,Intel UHD Graphics,1476.0,15.6,1920,1080,12.0,256.0,Windows 11,2.05,549.0
4472,Acer,Intel Core i3 N305,9978.0,Intel UHD Graphics,1476.0,14.0,1920,1200,8.0,128.0,Windows 11,1.55,412.82
4474,Dell,Intel Core i7 1165G7   2.80GHz,10346.0,Intel HD Graphics 620,926.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.59,1127.0
4475,Lenovo,AMD Ryzen 7 PRO 6850U,20851.0,Radeon HD 6320 Graphic,216.0,16.0,1920,1200,16.0,512.0,Windows 11,4.42,1379.81
4476,Dell,Intel Core i7 985   3.47GHz,3928.0,RTX A2000,13772.0,16.0,1920,1200,32.0,1000.0,Windows 11,2.61,1979.99
4477,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,3456,2160,32.0,2000.0,Windows 11,3.64,2272.9
4478,Lenovo,Intel Core i5 1240P,17329.0,Intel Iris Xe,2690.0,16.0,2560,1600,8.0,256.0,Windows 11,2.85,839.0
4479,Dell,Intel Core i7 13700TE,27933.0,Intel UHD Graphics,1476.0,15.6,1920,1080,16.0,256.0,Windows 11,1.61,1384.73
4480,Asus,Intel Core i7 12650H,23276.0,GeForce RTX 3070,22459.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.0,1789.0
4481,Lenovo,AMD Ryzen 5 7530U,16506.0,Intel UHD Graphics,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.29,529.0
4482,HP,Intel Core i7 1355U,15287.0,GeForce RTX 3050,12961.0,17.3,1920,1080,64.0,1024.0,Windows 11,2.5,1809.0
4483,Lenovo,AMD Ryzen 5 5625U,15084.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,8.0,256.0,Windows 10,1.58,711.99
4484,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics 630,1247.0,15.6,1920,1080,16.0,256.0,Windows 10,1.82,514.79
4485,MSI,Intel Core i7 1260P,17229.0,GeForce RTX 3050,12961.0,16.0,2560,1600,16.0,512.0,Windows 11,2.1,1571.54
4486,Lenovo,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,16.0,2560,1600,48.0,3072.0,Windows 11,1.52,1889.0
4487,Acer,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,1920,1080,32.0,2048.0,Windows 10,2.59,2009.0
4488,HP,AMD Ryzen 5 7535HS,18435.0,GeForce RTX 2050,7320.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.68,839.99
4489,Asus,AMD Ryzen 3 3200U,3828.0,Radeon Vega 3,891.0,15.6,1920,1080,8.0,256.0,Windows 10,1.73,518.5
4490,HP,Intel Core i7 1370P,21088.0,Intel Iris Xe,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,1.73,1925.99
4491,HP,Intel Core i5 1245U,13481.0,Intel Iris Xe,2690.0,14.0,1920,1200,16.0,2048.0,Windows 10,2.22,999.0
4492,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.15,909.0
4493,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920,1080,32.0,1024.0,Windows 10,2.07,1139.0
4494,Lenovo,Intel Core i7 13800H,27476.0,GeForce RTX 4080,34635.0,16.0,2560,1600,32.0,1024.0,Windows 11,1.78,2729.0
4495,Dell,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,3840,2400,16.0,2048.0,Windows 11,1.68,769.99
4496,Dell,Intel Core i5 1245U,13481.0,Intel Iris Xe,2690.0,14.0,1920,1200,16.0,256.0,Windows 10,2.29,999.99
4497,HP,Intel Core i9 13900H,29690.0,GeForce RTX 4060,19560.0,16.0,2560,1600,32.0,1024.0,Windows 11,2.68,1899.0
4498,HP,Intel Core i5 1035G1   1.00GHz,7460.0,Intel HD Graphics 620,926.0,15.6,1366,768,8.0,512.0,Windows 10,1.17,719.99
4499,HP,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,1.75,599.99
4500,Asus,Intel Core i3 530   2.93GHz,1486.0,Intel UHD Graphics,1476.0,15.6,1920,1080,8.0,128.0,Windows 10,1.8,359.98
4501,MSI,Intel Core i5 1155G7   2.50GHz,10280.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,1024.0,Windows 11,1.55,579.99
4502,Acer,Intel Core i5 12500H,21525.0,GeForce RTX 3060,17089.0,15.6,1920,1080,16.0,512.0,Windows 11,2.5,1169.0
4503,Lenovo,Intel Core i7 4558U   2.80GHz,3052.0,GeForce RTX 2060,14124.0,16.0,1920,1080,32.0,1024.0,Windows 10,0.45,2239.0
4504,Lenovo,AMD Ryzen 5 5500U,13144.0,Ryzen 5 5500U with Radeon Graphics,2008.0,14.0,1920,1080,16.0,512.0,Windows 10,1.5,589.0
4505,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel HD Graphics 620,926.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.77,592.79
4506,LG,AMD Ryzen 5 7530U,16506.0,Ryzen 5 4500U with Radeon Graphics,1817.0,14.0,1920,1200,8.0,256.0,Windows 11,1.27,688.1
4507,HP,Intel Core i7 12800HX,32744.0,Radeon PRO W6600,16075.0,16.0,1920,1200,32.0,1024.0,Windows 11,1.84,2949.99
4508,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,17.3,1600,900,8.0,512.0,Windows 10,2.68,627.79
4509,Lenovo,Intel Core i7 1165G7   2.80GHz,10346.0,Intel HD Graphics 620,926.0,14.0,1920,1080,16.0,512.0,Windows 10,0.89,949.04
4510,Lenovo,Intel Core i7 4558U   2.80GHz,3052.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,0.45,537.29
4511,Dell,Intel Core i7 1250U,12421.0,GeForce MX250,2438.0,13.3,1920,1080,8.0,256.0,Windows 10,1.64,889.0
4512,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1920,1080,12.0,1024.0,Windows 10,1.77,539.78
4513,Acer,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,16.0,2560,1600,32.0,1024.0,Windows 11,2.68,1469.99
4514,HP,Intel Core i5 1335U,16980.0,Intel Iris Xe,2690.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.41,829.0
4515,HP,Intel Core i9 13900H,29690.0,Intel Iris Pro Graphics 6200,1449.0,16.0,3840,2400,64.0,2048.0,Windows 11,1.75,4816.61
