,Name,Operating-System,Processor,GPU,Total-Installed-Memory,Display-Size,Total-Installed-Capacity,Weight,CPU,Price,Brand,Width,Height,Processor_,CPU Mark,GPU Mark
839,"Dell 13.3"" Latitude 7340 Notebook",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,13.3,256,1.16,10-Core: Up to 4.7 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),1379.95,Dell,1920,1200,Intel Core i5-1345U (13th Gen),15348.0,1971.0
840,"Dell 13.3"" Latitude 7340 Ultralight Laptop (River)",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe,16,13.3,256,0.98,10-Core: Up to 4.7 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),1319.95,Dell,1920,1200,Intel Core i5-1345U (13th Gen),15348.0,2690.0
841,"Dell 13.3"" Latitude 5330 Laptop",Windows 10 Pro,Intel Core i5-1245U (12th Gen),Intel Iris Xe ,16,13.3,256,1.2,10-Core: Up to 4.4 GHz Performance (2 Cores)Up to 3.3 GHz Efficiency (8 Cores),1349.0,Dell,1920,1080,Intel Core i5-1245U (12th Gen),13481.0,1971.0
842,"Dell 15.6"" Latitude 5530 Laptop (i7-1255U, 16GB, 256GB SSD, Windows 11 Pro, Refurbished)",Windows 11 Pro,Intel Core i7-1255U (12th Gen),Intel Iris Xe ,16,15.6,256,2.6,10-Core: Up to 4.4 GHz Performance (2 Cores)Up to 3.3 GHz Efficiency (8 Cores),654.35,Dell,1366,768,Intel Core i7-1255U (12th Gen),13775.0,1971.0
843,"Lenovo 16"" IdeaPad Slim 5 Notebook (Silver)",Windows 11 Home,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,8,16.0,512,1.89,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),499.0,Lenovo,1920,1200,Intel Core i5-1335U (13th Gen),16980.0,1971.0
844,Lenovo ThinkPad X1 Carbon Gen 11 Multi-Touch Notebook,Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe ,16,14.0,512,1.12,10-Core: Up to 5.2 GHz Performance (2 Cores)Up to 3.9 GHz Efficiency (8 Cores),2082.69,Lenovo,1920,1200,Intel Core i7-1365U (13th Gen),15451.0,1971.0
845,Lenovo ThinkPad X1 Carbon Gen 11 Multi-Touch Notebook,Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe ,32,14.0,512,1.12,10-Core: Up to 5.2 GHz Performance (2 Cores)Up to 3.9 GHz Efficiency (8 Cores),2267.95,Lenovo,1920,1200,Intel Core i7-1365U (13th Gen),15451.0,1971.0
846,Lenovo ThinkPad X1 Carbon Gen 11 Multi-Touch Notebook,Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe ,16,14.0,512,1.12,10-Core: Up to 5.2 GHz Performance (2 Cores)Up to 3.9 GHz Efficiency (8 Cores),2082.69,Lenovo,1920,1200,Intel Core i7-1365U (13th Gen),15451.0,1971.0
847,Lenovo ThinkPad X1 Carbon Gen 11 Multi-Touch Notebook,Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,16,14.0,512,1.12,10-Core: Up to 5 GHz Performance (2 Cores)Up to 3.7 GHz Efficiency (8 Cores),1683.95,Lenovo,1920,1200,Intel Core i7-1355U (13th Gen),15287.0,1971.0
848,Lenovo ThinkPad X1 Carbon Gen 11 Notebook,Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,14.0,256,1.12,10-Core: Up to 4.7 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),1990.01,Lenovo,1920,1200,Intel Core i5-1345U (13th Gen),15348.0,1971.0
849,Lenovo ThinkPad X1 Carbon Gen 11 Notebook,Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,14.0,256,1.12,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),1673.95,Lenovo,1920,1200,Intel Core i5-1335U (13th Gen),16980.0,1971.0
850,Lenovo ThinkPad X1 Carbon Gen 11 Multi-Touch Notebook,Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,16,14.0,1024,1.12,10-Core: Up to 5 GHz Performance (2 Cores)Up to 3.7 GHz Efficiency (8 Cores),2413.84,Lenovo,1920,1200,Intel Core i7-1355U (13th Gen),15287.0,1971.0
851,Dell Latitude 9440 Multi-Touch 2-in-1 Notebook,Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,14.0,512,1.53,10-Core: Up to 4.7 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),1902.95,Dell,2560,1600,Intel Core i5-1345U (13th Gen),15348.0,1971.0
852,Dell Latitude 9440 Multi-Touch 2-in-1 Notebook,Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe ,16,14.0,512,1.53,10-Core: Up to 5.2 GHz Performance (2 Cores)Up to 3.9 GHz Efficiency (8 Cores),2059.95,Dell,2560,1600,Intel Core i7-1365U (13th Gen),15451.0,1971.0
853,Dell Latitude 9440 Multi-Touch 2-in-1 Notebook,Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,14.0,256,1.53,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),1753.34,Dell,2560,1600,Intel Core i5-1335U (13th Gen),16980.0,1971.0
854,Dell Latitude 9440 Multi-Touch 2-in-1 Notebook,Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe,32,14.0,512,1.53,10-Core: Up to 5.2 GHz Performance (2 Cores)Up to 3.9 GHz Efficiency (8 Cores),2099.99,Dell,2560,1600,Intel Core i7-1365U (13th Gen),15451.0,2690.0
855,"Samsung 13.3"" Galaxy Book2 Pro Laptop",Windows 11 Pro,Intel Core i7-1260P (12th Gen),Intel Iris Xe ,16,13.3,512,0.87,12-Core: 2.1 to 4.7 GHz Performance (4 Cores)1.5 to 3.4 GHz Efficiency (8 Cores),1499.95,Samsung,1920,1080,Intel Core i7-1260P (12th Gen),17229.0,1971.0
856,"Samsung 15.6"" Galaxy Book2 Pro Laptop (Graphite)",Windows 11 Pro,Intel Core i7-1260P (12th Gen),Intel Iris Xe ,16,15.6,512,1.17,12-Core: 2.1 to 4.7 GHz Performance (4 Cores)1.5 to 3.4 GHz Efficiency (8 Cores),1549.95,Samsung,1920,1080,Intel Core i7-1260P (12th Gen),17229.0,1971.0
857,"Dell 14"" Precision 3480 Mobile Workstation",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,16,14.0,512,1.39,10-Core: 1.7 to 5 GHz Performance (2 Cores)1.2 to 3.7 GHz Efficiency (8 Cores),1343.5,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,1971.0
858,"Dell 15.6"" Precision 3580 Mobile Workstation (Wi-Fi)",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,15.6,256,1.61,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),729.0,Dell,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
859,"Lenovo 16"" ThinkPad E16 Gen 1 Notebook",Windows 11 Pro,AMD Ryzen 7 7730U,AMD Radeon,16,16.0,512,1.97,8-Core: 2 to 4.5 GHz,919.95,Lenovo,1920,1200,AMD Ryzen 7 7730U,18825.0,240.0
860,"Lenovo 16"" ThinkPad E16 Gen 1 Notebook",Windows 11 Pro,AMD Ryzen 7 7530U,AMD Radeon ,8,16.0,256,1.97,6-Core: 2 to 4.5 GHz ,648.5,Lenovo,1920,1200,AMD Ryzen 7 7530U,16506.0,240.0
861,"Lenovo 14"" ThinkPad E14 Gen 5 Multi-Touch Laptop (Graphite Black)",Windows 11 Pro,AMD Ryzen 5 7530U,AMD Radeon ,16,14.0,512,1.53,6-Core: 2 to 4.5 GHz ,849.93,Lenovo,1920,1200,AMD Ryzen 5 7530U,16506.0,240.0
862,"Lenovo 14"" ThinkPad E14 Gen 5 Multi-Touch Laptop (Graphite Black)",Windows 11 Pro,AMD Ryzen 7 7730U,AMD Radeon ,16,14.0,512,1.53,8-Core: 2 to 4.5 GHz ,931.95,Lenovo,1920,1200,AMD Ryzen 7 7730U,18825.0,240.0
863,"Lenovo 14"" ThinkPad E14 Gen 5 Laptop (Graphite Black)",Windows 11 Pro,AMD Ryzen 7 7730U,AMD Radeon ,16,14.0,512,1.53,8-Core: 2 to 4.5 GHz ,858.95,Lenovo,1920,1200,AMD Ryzen 7 7730U,18825.0,240.0
864,"Lenovo 14"" ThinkPad E14 Gen 5 Laptop (Graphite Black)",Windows 11 Pro,AMD Ryzen 5 7530U,AMD Radeon,16,14.0,256,1.53,6-Core: 2 to 4.5 GHz,779.5,Lenovo,1920,1200,AMD Ryzen 5 7530U,16506.0,240.0
865,"Lenovo 14"" ThinkPad E14 Gen 5 Laptop (Arctic Gray)",Windows 11 Pro,AMD Ryzen 5 7530U,AMD Radeon ,16,14.0,256,1.53,6-Core: 2 to 4.5 GHz ,783.74,Lenovo,1920,1200,AMD Ryzen 5 7530U,16506.0,240.0
866,"Lenovo 14"" ThinkPad E14 Gen 5 Laptop",Windows 11 Pro,AMD Ryzen 5 7530U,AMD Radeon ,8,14.0,256,1.53,6-Core: 2 to 4.5 GHz ,636.5,Lenovo,1920,1200,AMD Ryzen 5 7530U,16506.0,240.0
867,"Samsung 16"" Galaxy Book3 Pro 360 Multi-Touch 2-in-1 Laptop",Windows 11 Pro,Intel Core i7-1360P (13th Gen),Intel Iris Xe ,16,16.0,1024,1.66,12-Core: 2.2 to 5 GHz Performance (4 Cores)1.6 to 3.7 GHz Efficiency (8 Cores),1799.95,Samsung,2880,1800,Intel Core i7-1360P (13th Gen),19333.0,1971.0
868,"Samsung 16"" Galaxy Book3 Pro 360 Multi-Touch 2-in-1 Laptop",Windows 11 Pro,Intel Core i7-1360P (13th Gen),Intel Iris Xe ,32,16.0,1024,1.66,12-Core: 2.2 to 5 GHz Performance (4 Cores)1.6 to 3.7 GHz Efficiency (8 Cores),2199.99,Samsung,2880,1800,Intel Core i7-1360P (13th Gen),19333.0,1971.0
869,"Lenovo 16"" ThinkPad T16 Gen 2 Multi-Touch Laptop (Thunder Black)",Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe ,16,16.0,512,1.7,10-Core: 1.8 to 5.2 GHz Performance (2 Cores)1.3 to 3.9 GHz Efficiency (8 Cores),1833.95,Lenovo,1920,1200,Intel Core i7-1365U (13th Gen),15451.0,1971.0
870,"Lenovo 16"" ThinkPad T16 Gen 2 Multi-Touch Laptop (Thunder Black)",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe,16,16.0,512,1.7,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),1349.95,Lenovo,1920,1200,Intel Core i5-1335U (13th Gen),16980.0,2690.0
871,"Lenovo 14"" ThinkPad P14s Gen 4 Notebook",Windows 11 Pro,Intel Core i7-1370P (13th Gen),Intel Iris Xe ,16,14.0,512,1.34,14-Core: Up to 5.2 GHz Performance (6 Cores)Up to 3.9 GHz Efficiency (8 Cores),1849.95,Lenovo,1920,1200,Intel Core i7-1370P (13th Gen),21088.0,1971.0
872,"Lenovo 14"" ThinkPad P14s Gen 4 Notebook",Windows 11 Pro,Intel Core i7-1360P (13th Gen),Intel Iris Xe,16,14.0,512,1.34,12-Core: Up to 5 GHz Performance (4 Cores)Up to 3.7 GHz Efficiency (8 Cores),1228.95,Lenovo,1920,1200,Intel Core i7-1360P (13th Gen),19333.0,2690.0
873,"LG 14"" gram Ultra Laptop (Charcoal Gray)",Windows 11 Pro,AMD Ryzen 5 5625U,AMD Radeon ,8,14.0,512,1.29,6-Core: 2.3 to 3.8 GHz ,784.0,LG,1920,1200,AMD Ryzen 5 5625U,15084.0,240.0
874,"Dynabook 15.6"" Tecra A50-K1538 Laptop",Windows 10 Pro,Intel Core i7-1260P (12th Gen),Intel UHD Graphics ,16,15.6,512,1.63,20-Core: 2.1 to 4.7 GHz Performance (12 Cores)1.5 to 3.4 GHz Efficiency (8 Cores),1302.5,Dynabook,1920,1080,Intel Core i7-1260P (12th Gen),17229.0,324.0
875,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i3-1315U (13th Gen),Intel UHD Graphics,8,15.6,256,1.81,6-Core: 1.2 to 4.5 GHz Performance (2 Cores)0.9 to 3.3 GHz Efficiency (4 Cores),693.34,Dell,1366,768,Intel Core i3-1315U (13th Gen),13004.0,1476.0
876,"Dell 15.6"" Latitude 3540 Multi-Touch Notebook",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,16,15.6,512,1.81,10-Core: 1.7 to 5 GHz Performance (2 Cores)1.2 to 3.7 GHz Efficiency (8 Cores),969.99,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,1971.0
877,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,8,15.6,256,1.81,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),614.95,Dell,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
878,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,15.6,256,1.81,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),879.99,Dell,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
879,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,8,15.6,256,1.81,10-Core: 1.7 to 5 GHz Performance (2 Cores)1.2 to 3.7 GHz Efficiency (8 Cores),898.91,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,1971.0
880,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,16,15.6,256,1.81,10-Core: 1.7 to 5 GHz Performance (2 Cores)1.2 to 3.7 GHz Efficiency (8 Cores),839.99,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,1971.0
881,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,8,15.6,256,1.81,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),699.99,Dell,1366,768,Intel Core i5-1335U (13th Gen),16980.0,1971.0
882,"LG 15"" UltraPC Laptop",Windows 11 Pro,Intel Core i5-1240P (12th Gen),Intel Iris Xe ,8,15.0,512,1.75,12-Core: 1.7 to 4.4 GHz Performance (4 Cores)Up to 3.3 GHz Efficiency (8 Cores),799.0,LG,1920,1080,Intel Core i5-1240P (12th Gen),17329.0,1971.0
883,"LG 15"" UltraPC Laptop",Windows 11 Pro,Intel Core i7-1260P (12th Gen),Intel Iris Xe ,16,15.0,512,1.75,12-Core: 2.1 to 4.7 GHz Performance (4 Cores)1.5 to 3.4 GHz Efficiency (8 Cores),1199.0,LG,1920,1080,Intel Core i7-1260P (12th Gen),17229.0,1971.0
884,"LG 15"" UltraPC Laptop",Windows 11 Pro,Intel Core i5-1240P (12th Gen),Intel Iris Xe ,8,15.0,256,1.75,12-Core: 1.7 to 4.4 GHz Performance (4 Cores)Up to 3.3 GHz Efficiency (8 Cores),879.0,LG,1920,1080,Intel Core i5-1240P (12th Gen),17329.0,1971.0
